                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2115,                  5.535,                 3.8095,                 5.1768,                 10.475,                 3.7419,                      0,                      0,                      0,                      0,                 5.5481,                 5.3054,                  4.204,                  5.555,                  9.951,                 4.1926,              0.0002361,              0.0002361,              0.0002361
                      2,                 4.2711,                  4.522,                 3.1227,                 4.1358,                 5.6437,                 2.8987,                0.90609,                  0.006,                0.00209,                0.00052,                 3.8676,                 3.6696,                  2.815,                 3.8068,                 4.2225,                 2.6246,             0.00046471,             0.00046471,             0.00046471
                      3,                 3.8723,                  3.851,                 2.7178,                  3.754,                 4.4391,                  2.456,                0.90956,                0.01032,                0.00407,                0.00101,                 3.6411,                 3.3148,                 2.5459,                 3.5286,                 3.8421,                 2.2906,              0.0006839,              0.0006839,              0.0006839
                      4,                 3.6809,                 3.5539,                 2.4956,                 3.5972,                 4.1045,                  2.238,                0.80721,                0.01881,                0.00647,                0.00169,                  3.498,                 3.0983,                 2.3277,                 3.4106,                 3.6531,                 2.0926,             0.00067159,             0.00067159,             0.00067159
                      5,                 3.5386,                 3.3001,                 2.3881,                 3.4829,                  3.849,                  2.106,                 0.4107,                0.05032,                0.00927,                0.00259,                  3.339,                 2.9078,                 2.2604,                 3.3277,                 3.4367,                 1.9862,             0.00067159,             0.00067159,             0.00067159
                      6,                 3.4436,                 3.2271,                 2.3062,                 3.4247,                 3.8026,                 2.0323,                0.31334,                0.05752,                0.01296,                0.00387,                  3.291,                 2.8157,                 2.1747,                 3.2523,                 3.3777,                 1.8873,             0.00065745,             0.00065745,             0.00065745
                      7,                 3.3465,                 3.1129,                 2.1678,                 3.3306,                 3.6717,                 1.9192,                0.41957,                 0.0461,                0.01601,                0.00481,                 3.1657,                  2.753,                 2.0557,                 3.2103,                 3.3212,                 1.8273,             0.00064331,             0.00064331,             0.00064331
                      8,                 3.2036,                 3.0321,                 2.0729,                 3.2404,                 3.6185,                 1.8447,                0.02368,                0.06292,                0.02175,                0.00705,                 3.0884,                 2.6715,                 1.9979,                 3.1659,                 3.2668,                 1.7592,             0.00062918,             0.00062918,             0.00062918
                      9,                 3.1975,                  2.963,                 2.0166,                 3.2216,                 3.5145,                 1.7832,                0.02144,                0.06808,                0.02082,                0.00661,                 3.0974,                 2.7652,                 1.9149,                 3.1698,                 3.2779,                 1.7244,             0.00061504,             0.00061504,             0.00061504
                     10,                 3.1488,                 2.9455,                 1.9647,                 3.1788,                 3.5108,                 1.7413,                0.02342,                0.06576,                0.02346,                0.00837,                 3.0807,                 2.7841,                 1.8451,                 3.0909,                 3.2382,                 1.6502,              0.0006009,              0.0006009,              0.0006009
                     11,                 3.0678,                 2.8586,                 1.8952,                 3.1271,                 3.4426,                 1.6763,                  0.026,                 0.0757,                0.02623,                0.00956,                 2.8723,                 2.5909,                  1.828,                 3.0283,                 3.1608,                 1.6265,             0.00058677,             0.00058677,             0.00058677
                     12,                 3.0455,                 2.8544,                  1.914,                 3.1082,                 3.4421,                 1.6878,                0.02406,                0.07822,                0.02669,                0.00992,                 2.8623,                 2.5652,                 1.7923,                 2.9788,                 3.1358,                 1.5962,             0.00057263,             0.00057263,             0.00057263
                     13,                 2.9858,                 2.8112,                 1.8282,                 3.0583,                  3.386,                 1.6203,                0.02804,                0.08026,                0.03087,                0.01116,                 2.8043,                 2.5397,                  1.759,                 2.9785,                 3.1178,                 1.5848,             0.00055849,             0.00055849,             0.00055849
                     14,                 2.9232,                 2.7656,                 1.7771,                 3.0157,                  3.348,                 1.5805,                 0.0319,                0.08988,                0.03367,                0.01268,                 2.7522,                 2.4687,                 1.7091,                 2.9152,                 3.0535,                 1.5343,             0.00054435,             0.00054435,             0.00054435
                     15,                 2.9236,                 2.7076,                 1.7751,                 3.0309,                  3.298,                 1.5776,                0.03036,                0.07919,                 0.0332,                0.01159,                 2.8034,                 2.5436,                 1.6904,                 3.0212,                 3.1369,                 1.5193,             0.00053022,             0.00053022,             0.00053022
                     16,                 2.8514,                 2.6734,                  1.746,                 2.9763,                 3.2729,                 1.5416,                0.03372,                0.07674,                0.03568,                0.01291,                 2.7554,                 2.5399,                 1.6498,                 2.9282,                 3.1214,                 1.4914,             0.00051608,             0.00051608,             0.00051608
                     17,                  2.798,                 2.6342,                 1.7255,                 2.9381,                 3.2698,                 1.5294,                0.03824,                0.10388,                0.04072,                0.01427,                 2.6469,                 2.3635,                 1.6477,                 2.8446,                 2.9627,                 1.4772,             0.00050194,             0.00050194,             0.00050194
                     18,                 2.8102,                  2.612,                 1.6838,                 2.9369,                 3.2152,                 1.5055,                0.03669,                0.09981,                0.04145,                0.01586,                 2.6398,                 2.3039,                 1.6332,                 2.8377,                  2.921,                 1.4587,              0.0004878,              0.0004878,              0.0004878
                     19,                 2.7405,                 2.5624,                 1.6737,                 2.8953,                  3.176,                 1.4849,                0.03632,                0.09936,                0.04157,                0.01587,                 2.5939,                 2.3469,                 1.5782,                 2.8283,                 2.9306,                 1.4324,             0.00047367,             0.00047367,             0.00047367
                     20,                 2.7303,                 2.5592,                 1.6559,                 2.8685,                 3.1617,                 1.4733,                0.03662,                0.09758,                0.04179,                0.01612,                 2.6375,                  2.388,                 1.5575,                  2.859,                 2.9716,                 1.4129,             0.00045953,             0.00045953,             0.00045953
                     21,                 2.6916,                 2.5197,                 1.6065,                 2.8697,                 3.1372,                 1.4377,                0.23467,                0.10971,                0.04192,                0.01621,                 2.5469,                  2.285,                 1.5454,                 2.7976,                 2.9009,                 1.4012,             0.00044539,             0.00044539,             0.00044539
                     22,                 2.6614,                 2.5469,                 1.6244,                 2.8205,                 3.1609,                 1.4485,                 0.0393,                 0.1095,                0.04417,                0.01656,                 2.5634,                 2.3297,                 1.5381,                 2.8276,                 2.9389,                 1.3976,             0.00043126,             0.00043126,             0.00043126
                     23,                 2.6229,                 2.4793,                 1.5876,                 2.7994,                 3.1028,                 1.4275,                0.03909,                0.11322,                0.04648,                0.01847,                 2.4977,                 2.2144,                 1.5289,                 2.7464,                 2.8251,                 1.3934,             0.00041712,             0.00041712,             0.00041712
                     24,                 2.6127,                 2.4573,                 1.5572,                 2.8096,                 3.0685,                 1.4003,                0.03676,                0.11941,                0.04593,                0.01736,                 2.4837,                 2.2157,                 1.5088,                 2.7537,                 2.8313,                 1.3656,             0.00040298,             0.00040298,             0.00040298
                     25,                 2.6113,                  2.473,                  1.564,                 2.8274,                 3.0871,                 1.4031,                0.03952,                0.10049,                0.04448,                0.01695,                 2.6838,                 2.4053,                 1.5253,                 2.9659,                 3.0392,                 1.4007,             0.00038884,             0.00038884,             0.00038884
                     26,                 2.5479,                 2.3972,                 1.5505,                 2.7511,                 3.0292,                  1.392,                0.03979,                0.12097,                0.04977,                0.01999,                  2.502,                 2.2487,                 1.4898,                 2.7656,                 2.8385,                 1.3683,             0.00037471,             0.00037471,             0.00037471
                     27,                 2.5727,                 2.4374,                 1.5563,                  2.809,                 3.0453,                 1.4035,                0.03682,                0.12754,                0.04944,                0.02042,                 2.4122,                 2.1509,                 1.4739,                 2.7158,                 2.7663,                 1.3534,             0.00036057,             0.00036057,             0.00036057
                     28,                 2.5631,                  2.398,                 1.5472,                 2.7842,                 3.0195,                 1.3908,                0.03849,                0.12706,                0.05119,                0.02096,                 2.4015,                 2.1209,                 1.4619,                 2.7213,                 2.7453,                 1.3393,             0.00034643,             0.00034643,             0.00034643
                     29,                 2.5281,                 2.3905,                 1.5125,                 2.7574,                 3.0112,                 1.3619,                0.23968,                0.13106,                0.04836,                0.01999,                 2.4917,                 2.1415,                 1.5192,                 2.7101,                 2.7446,                 1.3565,              0.0003323,              0.0003323,              0.0003323
                     30,                 2.5161,                 2.3654,                 1.5197,                 2.7313,                 2.9844,                 1.3617,                0.13982,                0.13205,                0.05289,                0.02203,                 2.3768,                 2.1084,                 1.4521,                 2.6853,                 2.7361,                 1.3358,             0.00031816,             0.00031816,             0.00031816
                     31,                 2.4565,                  2.329,                 1.4945,                  2.708,                 2.9595,                 1.3492,                0.24169,                0.13946,                0.05228,                0.02197,                 2.3495,                 2.0807,                 1.4477,                 2.6656,                 2.6976,                 1.3254,             0.00030402,             0.00030402,             0.00030402
                     32,                 2.5177,                 2.3571,                 1.4897,                 2.7777,                 2.9773,                 1.3466,                 0.2518,                0.13288,                0.05486,                0.02384,                 2.3308,                 2.0523,                 1.4478,                 2.6332,                 2.6782,                 1.3168,             0.00028988,             0.00028988,             0.00028988
                     33,                 2.4488,                  2.287,                  1.458,                 2.7182,                 2.9092,                 1.3265,                0.03811,                0.14005,                0.05443,                0.02267,                 2.3483,                 2.0675,                 1.4251,                  2.704,                 2.6731,                 1.3258,             0.00027575,             0.00027575,             0.00027575
                     34,                 2.4676,                 2.2973,                 1.4919,                 2.7413,                 2.9197,                 1.3486,                0.14562,                0.13363,                0.05417,                0.02206,                 2.4391,                 2.1269,                 1.4341,                 2.7635,                 2.7321,                 1.3293,             0.00026161,             0.00026161,             0.00026161
                     35,                 2.4524,                 2.3614,                 1.4506,                 2.7314,                 2.9909,                 1.3197,                0.25394,                0.13326,                0.05673,                0.02505,                 2.3017,                  2.067,                 1.4133,                 2.6496,                 2.6831,                 1.3153,             0.00024747,             0.00024747,             0.00024747
                     36,                 2.3838,                  2.258,                 1.4513,                 2.6694,                 2.8768,                 1.3193,                0.04714,                0.13435,                0.05626,                0.02367,                  2.336,                 2.0626,                 1.4155,                 2.6815,                  2.679,                 1.3083,             0.00023334,             0.00023334,             0.00023334
                     37,                 2.4175,                 2.2716,                 1.4855,                 2.6725,                  2.908,                 1.3478,                0.24399,                0.13518,                0.05568,                0.02354,                 2.3717,                 2.0871,                 1.4109,                 2.7327,                 2.6934,                 1.3125,              0.0002192,              0.0002192,              0.0002192
                     38,                 2.3924,                 2.2275,                 1.4391,                  2.687,                 2.8636,                 1.3141,                0.25312,                0.14061,                0.06131,                0.02686,                 2.2774,                 2.0091,                 1.3965,                 2.6269,                 2.6218,                 1.2941,             0.00020506,             0.00020506,             0.00020506
                     39,                 2.3812,                 2.2388,                 1.4486,                 2.6555,                  2.865,                 1.3173,                0.04542,                0.14852,                0.06171,                0.02734,                 2.2561,                 2.0029,                 1.3948,                 2.6139,                 2.6352,                 1.2977,             0.00019092,             0.00019092,             0.00019092
                     40,                 2.3643,                 2.2163,                 1.4433,                 2.6452,                 2.8383,                 1.3113,                0.04907,                0.14431,                0.06243,                0.02712,                 2.2945,                 2.0193,                 1.3989,                 2.6589,                 2.6313,                 1.3068,             0.00017679,             0.00017679,             0.00017679
                     41,                  2.322,                 2.3597,                 1.4299,                 2.5812,                 3.0976,                 1.3007,                0.07922,                0.15186,                0.06552,                 0.0276,                 2.2727,                 2.0558,                 1.3847,                 2.6276,                 2.6624,                 1.2823,             0.00016265,             0.00016265,             0.00016265
                     42,                 2.3066,                 2.3279,                 1.4364,                 2.5985,                 3.0744,                 1.3074,                0.47078,                0.12061,                0.06082,                0.02586,                 2.2723,                   2.06,                 1.3709,                 2.6374,                 2.6824,                 1.2771,             0.00014851,             0.00014851,             0.00014851
                     43,                 2.3197,                 2.3013,                 1.4133,                 2.6057,                 3.0308,                 1.2895,                0.48529,                0.10283,                0.06204,                0.02854,                 2.2445,                 2.0267,                 1.3645,                 2.6029,                 2.6424,                 1.2696,             0.00013437,             0.00013437,             0.00013437
                     44,                 2.2798,                 2.2673,                 1.4187,                 2.5612,                 3.0025,                 1.2889,                0.47184,                0.12002,                  0.063,                 0.0282,                 2.2587,                 2.0149,                 1.3645,                 2.6368,                 2.6246,                 1.2716,             0.00012024,             0.00012024,             0.00012024
                     45,                  2.317,                 2.2992,                 1.4058,                 2.5943,                 3.0122,                 1.2806,                0.16321,                0.13791,                0.06519,                0.02904,                 2.2357,                 2.0038,                  1.364,                 2.5882,                 2.6097,                 1.2667,              0.0001061,              0.0001061,              0.0001061
                     46,                 2.2654,                 2.2554,                  1.398,                 2.5607,                 2.9855,                  1.279,                0.05934,                0.14114,                0.06583,                0.02995,                 2.2229,                 1.9964,                 1.3613,                 2.5841,                 2.6012,                 1.2694,             9.1963e-05,             9.1963e-05,             9.1963e-05
