                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.135,                 5.3316,                 4.0264,                      0,                      0,                      0,                      0,                 5.4371,                 5.6159,                 4.2422,              0.0002361,              0.0002361,              0.0002361
                      2,                 4.0044,                 3.9487,                  3.253,                      0,                      0,                      0,                      0,                 3.6797,                 3.6591,                 2.6354,             0.00046471,             0.00046471,             0.00046471
                      3,                 3.6046,                  3.267,                 2.6691,                      0,                      0,                      0,                      0,                 3.3476,                 2.9687,                 2.4843,              0.0006839,              0.0006839,              0.0006839
                      4,                  3.449,                 3.1001,                 2.4278,                      0,                      0,                      0,                      0,                 3.3095,                 2.8102,                 2.2964,             0.00067159,             0.00067159,             0.00067159
                      5,                 3.3376,                 2.9429,                 2.2767,                      0,                      0,                      0,                      0,                 3.1244,                 2.6684,                 2.1199,             0.00067159,             0.00067159,             0.00067159
                      6,                 3.2438,                 2.9078,                 2.1838,                      0,                      0,                      0,                      0,                 3.0402,                 2.6571,                  2.017,             0.00065745,             0.00065745,             0.00065745
                      7,                 3.1486,                 2.8325,                 2.0809,                      0,                      0,                      0,                      0,                 3.0128,                 2.6118,                 1.9302,             0.00064331,             0.00064331,             0.00064331
                      8,                 3.0067,                 2.7285,                 1.9751,                      0,                      0,                      0,                      0,                 2.9074,                    2.6,                 2.0379,             0.00062918,             0.00062918,             0.00062918
                      9,                 2.9554,                  2.609,                 1.8965,                      0,                      0,                      0,                      0,                 2.7372,                 2.3878,                 1.8097,             0.00061504,             0.00061504,             0.00061504
                     10,                  2.866,                 2.5726,                 1.8242,                      0,                      0,                      0,                      0,                 2.7449,                 2.3729,                 1.7279,              0.0006009,              0.0006009,              0.0006009
                     11,                  2.771,                 2.4558,                 1.7526,                      0,                      0,                      0,                      0,                 2.6487,                 2.2548,                 1.6962,             0.00058677,             0.00058677,             0.00058677
                     12,                 2.7585,                 2.4595,                 1.7604,                      0,                      0,                      0,                      0,                 2.6729,                 2.2852,                 1.6772,             0.00057263,             0.00057263,             0.00057263
                     13,                 2.6892,                  2.408,                 1.7004,                      0,                      0,                      0,                      0,                 2.4887,                 2.1372,                 1.6107,             0.00055849,             0.00055849,             0.00055849
                     14,                 2.6399,                 2.3702,                 1.6656,                      0,                      0,                      0,                      0,                 2.6124,                 2.1844,                 1.6167,             0.00054435,             0.00054435,             0.00054435
                     15,                 2.6124,                 2.3054,                 1.6394,                      0,                      0,                      0,                      0,                 2.4537,                  2.108,                 1.5574,             0.00053022,             0.00053022,             0.00053022
                     16,                  2.528,                 2.2612,                 1.6219,                      0,                      0,                      0,                      0,                 2.4106,                 2.0767,                 1.5275,             0.00051608,             0.00051608,             0.00051608
                     17,                 2.4984,                 2.2208,                 1.6036,                      0,                      0,                      0,                      0,                 2.4883,                 2.0615,                 1.5282,             0.00050194,             0.00050194,             0.00050194
                     18,                   2.48,                 2.1947,                 1.5659,                      0,                      0,                      0,                      0,                  2.332,                  1.975,                 1.4913,              0.0004878,              0.0004878,              0.0004878
                     19,                 2.4505,                 2.1665,                 1.5589,                      0,                      0,                      0,                      0,                 2.3144,                  1.989,                 1.4912,             0.00047367,             0.00047367,             0.00047367
                     20,                 2.4039,                 2.1431,                 1.5373,                      0,                      0,                      0,                      0,                 2.3385,                 1.9511,                 1.4655,             0.00045953,             0.00045953,             0.00045953
