                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4545,                 5.9736,                 3.9086,                 5.4528,                 13.326,                 3.8558,                      0,                      0,                      0,                      0,                 5.7524,                 5.4219,                 4.1851,                 5.7571,                 10.908,                  4.178,             0.00023422,             0.00023422,             0.00023422
                      2,                 4.6648,                 4.6215,                  3.235,                 4.6052,                 6.0395,                  3.005,                      0,                      0,                      0,                      0,                  5.759,                 5.5295,                 4.2612,                 5.7544,                 10.929,                 4.2046,             0.00044885,             0.00044885,             0.00044885
                      3,                 4.0927,                 3.9613,                  2.704,                  4.013,                 4.5529,                 2.4943,                0.00289,                0.01959,                0.00285,                0.00072,                 3.8758,                 3.4618,                 2.5796,                 3.8176,                 3.9603,                 2.3525,             0.00063991,             0.00063991,             0.00063991
                      4,                 3.8804,                 3.6186,                 2.4623,                 3.8637,                 4.1285,                 2.2553,                0.90961,                0.01095,                0.00447,                 0.0011,                 3.6256,                 3.0699,                  2.248,                 3.6186,                 3.5597,                 2.0527,             0.00060797,             0.00060797,             0.00060797
                      5,                 3.6857,                 3.3163,                 2.3011,                 3.6588,                 3.8324,                 2.0852,                 0.9082,                0.01795,                0.00699,                0.00175,                 3.5131,                 2.9475,                 2.1408,                 3.5185,                 3.4336,                 1.9275,             0.00060797,             0.00060797,             0.00060797
                      6,                 3.6087,                 3.1657,                 2.1943,                 3.5926,                 3.6292,                   1.97,                0.00914,                0.05028,                0.00848,                0.00252,                 3.4208,                 2.8505,                 2.0728,                 3.3891,                 3.3106,                 1.8277,             0.00057263,             0.00057263,             0.00057263
                      7,                 3.5212,                 3.1092,                 2.1243,                 3.5511,                 3.5346,                 1.8859,                0.41032,                0.04789,                0.00975,                0.00297,                 3.3264,                 2.7466,                 2.0053,                 3.3747,                 3.2392,                 1.7947,             0.00053728,             0.00053728,             0.00053728
                      8,                 3.4206,                 3.0309,                 2.0128,                  3.448,                  3.479,                 1.8101,                0.52298,                0.03322,                0.01163,                0.00355,                 3.2836,                  2.796,                 1.8946,                 3.3475,                 3.2766,                  1.722,             0.00050194,             0.00050194,             0.00050194
                      9,                 3.3431,                 2.9368,                 1.9493,                 3.3932,                  3.358,                 1.7674,                0.42136,                0.04039,                0.01456,                0.00436,                 3.1402,                 2.6877,                 1.8159,                 3.2239,                  3.155,                 1.6634,              0.0004666,              0.0004666,              0.0004666
                     10,                 3.3178,                 2.8914,                 1.9193,                 3.3481,                 3.3487,                 1.7439,                 0.0177,                0.06473,                0.01792,                0.00577,                 3.1172,                 2.6237,                  1.772,                 3.1963,                 3.1071,                  1.631,             0.00043126,             0.00043126,             0.00043126
                     11,                 3.2289,                 3.0411,                 1.8845,                 3.2768,                  3.579,                 1.7194,                0.01885,                0.06669,                0.01727,                0.00547,                 3.0749,                 2.6969,                 1.7661,                 3.1974,                 3.1807,                 1.6132,             0.00039591,             0.00039591,             0.00039591
                     12,                 3.1742,                 2.9298,                 1.8142,                 3.2324,                 3.4924,                 1.6728,                 0.0199,                0.06893,                0.02048,                0.00702,                 3.0544,                 2.6209,                 1.7142,                 3.1749,                 3.1223,                 1.5575,             0.00036057,             0.00036057,             0.00036057
