                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1952,                 5.8276,                 3.8138,                 5.1556,                 12.282,                 3.7423,                      0,                      0,                      0,                      0,                 5.5428,                 5.2951,                 4.1848,                  5.547,                 9.8914,                  4.173,              0.0002361,              0.0002361,              0.0002361
                      2,                 4.2896,                 4.5394,                 3.1323,                 4.1494,                 5.7113,                 2.9069,                0.90602,                0.00529,                0.00201,                0.00048,                 3.8749,                 3.6457,                 2.7963,                 3.8182,                 4.2585,                 2.6416,             0.00045063,             0.00045063,             0.00045063
                      3,                 3.8925,                 3.8828,                 2.7283,                 3.7739,                 4.4857,                 2.4646,                0.90963,                0.00886,                0.00381,                0.00095,                 3.6725,                 3.3454,                 2.5759,                 3.5402,                 3.8545,                 2.3286,              0.0006416,              0.0006416,              0.0006416
                      4,                 3.7162,                 3.6027,                 2.5181,                 3.6137,                 4.1639,                 2.2582,                0.80736,                0.01911,                0.00566,                0.00137,                 3.5398,                 3.1165,                 2.3725,                 3.4376,                 3.6715,                 2.1279,             0.00060797,             0.00060797,             0.00060797
                      5,                 3.5687,                 3.3476,                 2.4152,                 3.5065,                 3.9153,                 2.1318,                0.61471,                0.03099,                0.00863,                0.00239,                 3.4017,                 2.9703,                 2.2606,                 3.3411,                 3.4928,                 1.9992,             0.00060797,             0.00060797,             0.00060797
                      6,                 3.4751,                 3.2738,                 2.3287,                 3.4367,                 3.8524,                 2.0495,                0.01308,                0.05285,                0.01173,                0.00342,                 3.3244,                 2.8749,                 2.2072,                 3.3154,                 3.4306,                 1.9516,             0.00057263,             0.00057263,             0.00057263
                      7,                 3.4127,                  3.177,                 2.2066,                 3.3618,                 3.7286,                 1.9435,                0.11463,                0.05815,                0.01506,                0.00405,                 3.2169,                 2.8175,                 2.1168,                 3.2612,                 3.3947,                 1.8731,             0.00053728,             0.00053728,             0.00053728
                      8,                 3.2793,                 3.1036,                  2.121,                 3.2644,                 3.6768,                 1.8671,                0.02195,                 0.0664,                0.01996,                0.00629,                 3.1369,                 2.7301,                 2.0166,                 3.1999,                 3.2917,                 1.8038,             0.00050194,             0.00050194,             0.00050194
                      9,                 3.2602,                 3.0133,                 2.0594,                 3.2783,                 3.5563,                 1.8202,                0.01983,                0.05921,                0.01925,                0.00592,                 3.1136,                 2.6778,                 2.0039,                 3.1324,                 3.2601,                 1.7595,              0.0004666,              0.0004666,              0.0004666
                     10,                   3.18,                 2.9623,                 1.9967,                 3.2106,                 3.5377,                 1.7696,                0.02134,                0.06189,                0.02204,                0.00718,                 3.0242,                  2.682,                 1.8761,                 3.0867,                 3.2285,                   1.68,             0.00043126,             0.00043126,             0.00043126
                     11,                  3.113,                 3.1298,                 1.9769,                 3.1216,                 3.8226,                 1.7518,                0.02156,                0.06525,                0.02191,                0.00776,                 3.1118,                 2.7007,                 1.9496,                 3.1019,                  3.276,                 1.6806,             0.00039591,             0.00039591,             0.00039591
                     12,                 3.0582,                 3.0715,                 1.9295,                 3.0773,                 3.7752,                 1.7083,                0.02118,                0.06808,                0.02206,                0.00781,                 2.9296,                 2.6152,                 1.8224,                 3.0772,                 3.2033,                 1.6247,             0.00036057,             0.00036057,             0.00036057
