                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2644,                 4.8086,                 3.5764,                 4.0427,                 7.1416,                 3.2045,                 0.3152,                0.03151,                0.01165,                0.00348,                 3.2147,                 3.3458,                 2.4293,                  3.121,                 3.8553,                 2.0648,              0.0033251,              0.0033251,              0.0033251
                      2,                 2.8369,                 2.9303,                  1.977,                 2.9059,                 3.5732,                  1.695,                0.15253,                 0.1135,                0.04724,                0.01919,                 2.3839,                 2.3234,                 1.6281,                 2.5953,                  2.993,                 1.4795,              0.0066255,              0.0066255,              0.0066255
                      3,                 2.3242,                 2.3633,                 1.6018,                 2.5741,                 3.0052,                  1.424,                0.08793,                0.13387,                0.06864,                0.03086,                 2.1464,                 2.1352,                 1.4655,                 2.3998,                 2.8697,                 1.3512,              0.0098929,              0.0098929,              0.0098929
                      4,                  2.093,                 2.0892,                 1.4408,                 2.4397,                  2.646,                 1.3187,                0.22239,                0.15877,                0.10159,                 0.0508,                 1.8873,                 1.7821,                 1.3555,                 2.2523,                 2.3386,                 1.2761,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.9264,                 1.8887,                 1.3642,                 2.3144,                 2.4068,                 1.2709,                0.22202,                0.16948,                0.12542,                0.06628,                 1.8018,                 1.6602,                 1.3016,                 2.1469,                 2.1348,                 1.2318,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.8463,                 1.7609,                  1.308,                 2.2547,                 2.2611,                 1.2308,                0.20703,                0.20707,                0.15129,                0.08093,                 1.7248,                 1.5637,                   1.26,                 2.1048,                 2.0425,                 1.2025,               0.009802,               0.009802,               0.009802
                      7,                 1.7895,                 1.6676,                  1.289,                 2.2166,                  2.165,                 1.2168,                0.23191,                0.20505,                 0.1636,                0.08765,                 1.6794,                 1.4971,                 1.2358,                 2.0752,                 1.9694,                 1.1876,              0.0097525,              0.0097525,              0.0097525
                      8,                  1.739,                 1.6011,                 1.2631,                 2.1746,                 2.0879,                    1.2,                0.25548,                0.21533,                0.17687,                0.09646,                  1.649,                 1.4507,                 1.2257,                 2.0413,                 1.9177,                 1.1771,               0.009703,               0.009703,               0.009703
                      9,                 1.7063,                 1.5373,                 1.2389,                 2.1498,                 2.0155,                 1.1811,                 0.3003,                0.22608,                0.19898,                0.11009,                 1.5988,                 1.3844,                 1.1972,                 2.0165,                 1.8457,                 1.1583,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.6858,                    1.5,                 1.2275,                 2.1357,                 1.9735,                 1.1736,                  0.366,                0.23425,                0.20304,                0.11213,                 1.5976,                 1.3671,                 1.1921,                 2.0208,                 1.8337,                 1.1574,               0.009604,               0.009604,               0.009604
                     11,                 1.6469,                 1.4589,                 1.2096,                 2.0936,                 1.9203,                 1.1592,                0.30485,                0.24709,                0.21808,                0.12187,                 1.5493,                 1.3261,                 1.1759,                 1.9596,                 1.7652,                 1.1403,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.6252,                 1.4266,                 1.2084,                 2.0825,                  1.885,                 1.1596,                0.32494,                0.25255,                0.23133,                0.12969,                 1.5284,                 1.2949,                 1.1636,                 1.9587,                 1.7114,                 1.1347,               0.009505,               0.009505,               0.009505
                     13,                 1.6264,                 1.4102,                 1.1994,                 2.0858,                 1.8663,                 1.1513,                0.32206,                0.27427,                0.24344,                0.13694,                 1.5257,                 1.2686,                 1.1681,                 1.9311,                 1.6911,                 1.1316,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.5824,                 1.3713,                  1.186,                 2.0458,                  1.831,                 1.1434,                 0.3354,                0.26449,                0.24329,                0.13961,                 1.5046,                 1.2715,                 1.1568,                 1.9127,                 1.6989,                 1.1225,               0.009406,               0.009406,               0.009406
                     15,                 1.5837,                 1.3591,                 1.1789,                 2.0499,                 1.8059,                 1.1361,                0.32229,                0.27623,                0.25502,                0.14651,                 1.4977,                 1.2426,                 1.1493,                 1.9235,                 1.6828,                 1.1221,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.5763,                  1.338,                 1.1694,                 2.0526,                 1.7831,                 1.1286,                0.34459,                0.29139,                0.26637,                0.15111,                 1.4914,                 1.2234,                 1.1467,                  1.892,                 1.6213,                 1.1141,               0.009307,               0.009307,               0.009307
                     17,                 1.5684,                 1.3309,                 1.1745,                 2.0261,                 1.7655,                 1.1308,                0.34525,                0.28692,                0.27029,                0.15537,                  1.475,                  1.205,                 1.1392,                  1.891,                 1.6089,                 1.1111,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.5363,                 1.2964,                 1.1673,                 1.9927,                 1.7284,                 1.1271,                0.35828,                0.29166,                0.27537,                0.15703,                 1.4688,                 1.1942,                 1.1343,                 1.8814,                 1.6057,                 1.1069,               0.009208,               0.009208,               0.009208
                     19,                 1.5371,                 1.2755,                 1.1612,                 2.0047,                 1.7149,                 1.1228,                0.36451,                0.30153,                0.28544,                0.16327,                 1.4527,                 1.1804,                  1.128,                 1.8745,                 1.5817,                 1.1021,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.5284,                 1.2776,                 1.1564,                 2.0008,                   1.71,                 1.1183,                0.36131,                0.30091,                0.28449,                0.16321,                 1.4508,                 1.1752,                 1.1277,                 1.8571,                 1.5773,                 1.0981,               0.009109,               0.009109,               0.009109
                     21,                 1.5174,                  1.261,                 1.1533,                 1.9891,                 1.6945,                 1.1153,                0.37431,                0.30709,                0.29094,                0.16737,                 1.4346,                 1.1584,                 1.1199,                   1.86,                 1.5711,                 1.0951,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.5304,                 1.2575,                 1.1466,                 1.9988,                 1.6829,                 1.1073,                0.38123,                0.31193,                0.29456,                0.16882,                 1.4419,                 1.1684,                 1.1222,                 1.8495,                  1.555,                 1.0939,                0.00901,                0.00901,                0.00901
                     23,                 1.5011,                 1.2376,                 1.1392,                 1.9647,                 1.6533,                  1.103,                0.38041,                0.31629,                0.29937,                0.17182,                 1.4293,                 1.1576,                 1.1154,                 1.8449,                 1.5452,                 1.0892,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.5051,                 1.2328,                 1.1406,                 1.9653,                 1.6462,                 1.1038,                0.38901,                0.32024,                0.30944,                  0.178,                 1.4236,                 1.1492,                 1.1094,                 1.8418,                 1.5311,                 1.0872,               0.008911,               0.008911,               0.008911
                     25,                 1.5073,                 1.2275,                 1.1343,                 1.9807,                 1.6508,                 1.0957,                0.37834,                0.32462,                0.30345,                0.17691,                 1.4231,                 1.1497,                 1.1061,                 1.8448,                 1.5592,                 1.0798,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.4963,                 1.2279,                 1.1315,                 1.9755,                 1.6547,                 1.0931,                0.40596,                0.31794,                0.31184,                0.18027,                 1.4305,                 1.1494,                 1.1034,                 1.8411,                 1.5456,                 1.0776,               0.008812,               0.008812,               0.008812
                     27,                 1.4946,                 1.2282,                 1.1307,                 1.9628,                 1.6559,                 1.0927,                0.39367,                 0.3203,                0.30966,                0.18033,                  1.433,                 1.1568,                 1.1032,                 1.8401,                 1.5408,                 1.0787,              0.0087625,              0.0087625,              0.0087625
                     28,                  1.501,                 1.2306,                 1.1239,                  1.968,                 1.6509,                 1.0869,                 0.3944,                0.33313,                0.32131,                 0.1866,                 1.4237,                 1.1375,                 1.0937,                 1.8322,                   1.53,                 1.0721,               0.008713,               0.008713,               0.008713
                     29,                 1.4925,                 1.2136,                 1.1168,                 1.9535,                 1.6247,                 1.0822,                0.40643,                0.33908,                0.32781,                0.19085,                 1.4176,                 1.1329,                 1.0908,                 1.8157,                 1.5117,                 1.0681,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.4961,                 1.2233,                 1.1181,                 1.9451,                 1.6368,                 1.0854,                0.41419,                0.33224,                0.32577,                 0.1899,                 1.4126,                 1.1295,                 1.0858,                 1.8192,                 1.5036,                 1.0667,               0.008614,               0.008614,               0.008614
                     31,                 1.4886,                 1.2047,                  1.109,                 1.9546,                 1.6129,                 1.0786,                0.41191,                0.33852,                0.32826,                0.19178,                 1.4071,                 1.1217,                 1.0809,                 1.8134,                 1.5036,                 1.0655,              0.0085645,              0.0085645,              0.0085645
                     32,                  1.482,                 1.1976,                 1.1088,                 1.9376,                 1.6081,                 1.0787,                0.42727,                0.32836,                0.32969,                0.19313,                 1.4111,                 1.1301,                  1.082,                 1.8084,                 1.5194,                 1.0646,               0.008515,               0.008515,               0.008515
                     33,                 1.4836,                 1.2013,                  1.105,                 1.9463,                 1.6055,                 1.0752,                  0.427,                0.33409,                0.33336,                0.19492,                 1.4077,                 1.1236,                 1.0806,                 1.8039,                  1.501,                  1.063,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.4654,                 1.1785,                 1.0995,                 1.9269,                 1.5824,                 1.0715,                0.41638,                0.34774,                0.34026,                0.19827,                 1.4051,                 1.1105,                 1.0809,                 1.7969,                 1.4812,                  1.063,               0.008416,               0.008416,               0.008416
                     35,                  1.473,                  1.174,                  1.098,                 1.9259,                 1.5763,                 1.0716,                0.43313,                0.34039,                0.33947,                0.20014,                 1.3988,                 1.1028,                 1.0741,                 1.7994,                 1.4808,                 1.0606,              0.0083665,              0.0083665,              0.0083665
                     36,                  1.461,                 1.1771,                 1.0969,                 1.9188,                 1.5789,                 1.0704,                0.43542,                0.34392,                0.33991,                0.20052,                 1.3972,                 1.1032,                 1.0737,                 1.7894,                 1.4731,                  1.058,               0.008317,               0.008317,               0.008317
                     37,                 1.4745,                 1.1794,                 1.0986,                 1.9305,                 1.5829,                 1.0711,                0.43052,                0.34854,                0.34298,                0.20194,                 1.3905,                 1.0985,                 1.0709,                 1.7857,                  1.473,                  1.056,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.4591,                 1.1665,                 1.0934,                 1.9199,                 1.5639,                 1.0675,                0.42541,                0.34794,                0.34191,                0.20098,                  1.385,                 1.0926,                 1.0687,                 1.7789,                 1.4681,                 1.0551,               0.008218,               0.008218,               0.008218
                     39,                 1.4616,                 1.1559,                 1.0924,                 1.9144,                 1.5555,                 1.0679,                0.43269,                0.34902,                0.34619,                0.20316,                 1.3849,                 1.0848,                 1.0661,                 1.7833,                 1.4557,                 1.0551,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.4522,                 1.1528,                 1.0958,                 1.9129,                 1.5513,                 1.0691,                0.43581,                0.35583,                 0.3507,                0.20683,                 1.3807,                 1.0844,                 1.0668,                 1.7734,                 1.4528,                 1.0526,               0.008119,               0.008119,               0.008119
                     41,                 1.4479,                 1.1524,                 1.0884,                 1.9018,                 1.5415,                 1.0628,                0.43974,                0.35102,                 0.3547,                0.20818,                 1.3805,                  1.078,                 1.0638,                 1.7752,                 1.4483,                 1.0516,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.4461,                 1.1488,                 1.0847,                 1.9113,                 1.5428,                 1.0594,                0.44047,                0.36011,                0.35661,                0.21071,                 1.3756,                 1.0725,                 1.0641,                 1.7625,                  1.442,                 1.0504,                0.00802,                0.00802,                0.00802
                     43,                 1.4486,                  1.142,                 1.0813,                 1.9136,                  1.535,                 1.0585,                0.44447,                0.35923,                0.35607,                0.20905,                 1.3763,                 1.0752,                 1.0618,                 1.7689,                  1.444,                  1.051,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.4406,                 1.1449,                 1.0848,                  1.897,                  1.534,                  1.061,                0.42419,                0.36049,                0.35536,                0.20871,                 1.3778,                 1.0716,                 1.0624,                 1.7692,                 1.4446,                 1.0502,               0.007921,               0.007921,               0.007921
                     45,                 1.4198,                 1.1223,                 1.0825,                 1.8735,                  1.511,                 1.0618,                0.44088,                0.36334,                0.36194,                0.21343,                 1.3676,                 1.0609,                 1.0591,                 1.7596,                 1.4355,                 1.0462,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.4268,                 1.1304,                 1.0794,                  1.882,                  1.524,                 1.0567,                0.44715,                0.35555,                0.35808,                0.21178,                 1.3679,                 1.0643,                 1.0587,                 1.7565,                 1.4406,                  1.047,               0.007822,               0.007822,               0.007822
                     47,                 1.4442,                 1.1265,                 1.0737,                 1.9119,                 1.5202,                 1.0517,                 0.4536,                0.35733,                 0.3596,                0.21256,                 1.3607,                  1.059,                 1.0553,                 1.7576,                 1.4323,                 1.0458,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.4208,                 1.1217,                 1.0739,                 1.8853,                 1.5101,                  1.052,                0.44666,                0.36148,                0.36317,                0.21584,                 1.3629,                 1.0556,                 1.0562,                 1.7587,                  1.421,                 1.0463,               0.007723,               0.007723,               0.007723
                     49,                 1.4239,                 1.1228,                 1.0751,                 1.8784,                 1.5097,                 1.0539,                 0.4483,                 0.3647,                0.36279,                0.21408,                 1.3681,                 1.0563,                 1.0586,                 1.7583,                 1.4226,                 1.0457,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.4205,                 1.1075,                 1.0701,                 1.8877,                 1.4966,                 1.0494,                0.44555,                 0.3658,                0.36411,                0.21636,                 1.3566,                 1.0528,                 1.0547,                 1.7504,                 1.4166,                 1.0437,               0.007624,               0.007624,               0.007624
                     51,                 1.4199,                 1.1026,                 1.0721,                 1.8754,                 1.4848,                 1.0511,                0.46049,                0.36548,                 0.3682,                0.21737,                 1.3573,                 1.0502,                 1.0539,                 1.7493,                 1.4145,                  1.043,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.4152,                 1.1073,                 1.0719,                  1.872,                 1.4933,                 1.0523,                0.47091,                0.35983,                0.36675,                0.21778,                 1.3562,                 1.0472,                 1.0524,                 1.7511,                 1.4161,                  1.043,               0.007525,               0.007525,               0.007525
                     53,                  1.421,                  1.098,                 1.0674,                 1.8863,                 1.4824,                 1.0467,                0.45093,                0.36787,                0.36846,                 0.2185,                 1.3523,                 1.0441,                 1.0515,                 1.7472,                  1.411,                 1.0413,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.4049,                 1.1023,                  1.068,                 1.8619,                 1.4836,                 1.0504,                0.44302,                0.36866,                0.36511,                0.21769,                 1.3535,                 1.0392,                 1.0509,                 1.7462,                 1.3997,                 1.0421,               0.007426,               0.007426,               0.007426
                     55,                 1.4042,                 1.0929,                 1.0695,                 1.8551,                 1.4674,                 1.0489,                0.45999,                0.36805,                0.36944,                0.21987,                 1.3489,                 1.0411,                 1.0492,                 1.7408,                 1.4061,                  1.041,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.4021,                 1.0925,                 1.0653,                 1.8585,                 1.4781,                 1.0463,                0.45867,                0.37462,                0.37468,                0.22185,                 1.3477,                 1.0352,                 1.0487,                 1.7384,                 1.4007,                 1.0396,               0.007327,               0.007327,               0.007327
                     57,                 1.4102,                 1.1008,                 1.0719,                 1.8623,                 1.4822,                 1.0513,                0.46425,                0.36655,                0.37297,                0.22104,                 1.3459,                 1.0362,                 1.0487,                 1.7375,                  1.396,                 1.0396,              0.0072775,              0.0072775,              0.0072775
