                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3237,                 12.242,                 1.7961,                0.04339,                0.12248,                0.04795,                0.02103,                 2.6812,                 9.4863,                 1.4868,               0.067041,             0.00033292,             0.00033292
                      2,                 2.6429,                 9.0228,                 1.4542,                0.29851,                0.10694,                0.07624,                0.03527,                 2.4011,                 8.1693,                 1.3628,               0.034037,             0.00066293,             0.00066293
                      3,                 2.4391,                 8.1546,                 1.3635,                0.13491,                0.12446,                0.09115,                 0.0446,                 2.2559,                 7.5635,                 1.2988,              0.0010308,              0.0009896,              0.0009896
                      4,                 2.3251,                 7.6949,                 1.3197,                0.16707,                0.12838,                0.10339,                 0.0527,                 2.1894,                    7.2,                 1.2895,             0.00098501,             0.00098501,             0.00098501
                      5,                 2.2548,                 7.3969,                 1.2854,                0.19123,                 0.1404,                0.11573,                0.05984,                 2.1496,                 7.0266,                 1.2419,             0.00098501,             0.00098501,             0.00098501
                      6,                 2.2175,                 7.1776,                 1.2666,                0.29444,                0.15015,                0.12386,                 0.0634,                 2.1124,                 6.8316,                 1.2491,             0.00098002,             0.00098002,             0.00098002
                      7,                 2.1785,                 7.0312,                 1.2475,                0.19109,                0.14397,                0.12262,                0.06451,                 2.1099,                 6.7825,                 1.2283,             0.00097503,             0.00097503,             0.00097503
                      8,                 2.1442,                 6.8652,                  1.232,                0.20554,                0.15423,                0.13093,                0.06977,                 2.0955,                 6.7465,                 1.2228,             0.00097003,             0.00097003,             0.00097003
                      9,                  2.121,                 6.7563,                 1.2199,                0.21688,                0.16657,                0.14119,                0.07592,                  2.014,                 6.3937,                 1.2015,             0.00096504,             0.00096504,             0.00096504
                     10,                 2.0993,                 6.6322,                 1.2118,                0.24555,                0.16399,                0.14149,                0.07713,                 1.9985,                  6.382,                 1.1907,             0.00096004,             0.00096004,             0.00096004
                     11,                 2.0868,                 6.5972,                 1.2069,                0.23649,                0.17362,                0.14973,                0.08101,                 1.9755,                  6.238,                 1.1741,             0.00095504,             0.00095504,             0.00095504
                     12,                 2.0654,                 6.5001,                 1.1922,                0.30315,                0.17489,                0.15251,                 0.0833,                 1.9514,                 6.1552,                 1.1673,             0.00095005,             0.00095005,             0.00095005
                     13,                  2.051,                 6.4285,                 1.1876,                0.24174,                0.18122,                0.15645,                0.08507,                 1.9605,                 6.1833,                  1.177,             0.00094505,             0.00094505,             0.00094505
                     14,                   2.04,                 6.3527,                 1.1849,                0.23858,                0.17759,                0.15453,                 0.0859,                  1.929,                 6.0717,                 1.1579,             0.00094006,             0.00094006,             0.00094006
                     15,                 2.0309,                 6.3336,                 1.1791,                0.27662,                0.17494,                0.15689,                0.08598,                 1.9472,                 6.1183,                 1.1619,             0.00093507,             0.00093507,             0.00093507
                     16,                 2.0127,                 6.2312,                 1.1708,                0.29326,                0.17527,                0.16571,                0.09148,                 1.9416,                 5.9997,                 1.1492,             0.00093007,             0.00093007,             0.00093007
                     17,                 2.0146,                 6.2099,                 1.1707,                0.26216,                0.18087,                0.16345,                0.09001,                 1.9205,                 6.0306,                 1.1424,             0.00092508,             0.00092508,             0.00092508
                     18,                 2.0063,                 6.1803,                 1.1653,                0.27795,                0.18475,                0.17336,                0.09635,                 1.9213,                 5.9709,                 1.1502,             0.00092008,             0.00092008,             0.00092008
                     19,                 1.9877,                 6.1191,                 1.1567,                 0.2596,                0.19328,                0.17482,                 0.0967,                  1.913,                 5.9458,                 1.1481,             0.00091509,             0.00091509,             0.00091509
                     20,                 1.9703,                 6.0493,                 1.1547,                0.25299,                0.20026,                 0.1703,                0.09343,                 1.9025,                 6.0021,                 1.1495,             0.00091009,             0.00091009,             0.00091009
                     21,                 1.9846,                 6.0851,                  1.156,                 0.3059,                0.18611,                0.17698,                0.09846,                 1.8987,                 5.8549,                  1.137,             0.00090509,             0.00090509,             0.00090509
                     22,                 1.9718,                 6.0381,                 1.1543,                0.27727,                0.19632,                0.18088,                0.10087,                 1.8923,                 5.8353,                 1.1312,              0.0009001,              0.0009001,              0.0009001
                     23,                 1.9653,                  5.991,                 1.1474,                0.28761,                0.20092,                0.18356,                0.10153,                 1.8948,                 5.7843,                 1.1325,             0.00089511,             0.00089511,             0.00089511
                     24,                 1.9535,                 5.9526,                 1.1436,                0.28481,                0.20368,                 0.1906,                0.10696,                 1.8783,                 5.8044,                 1.1363,             0.00089011,             0.00089011,             0.00089011
                     25,                  1.948,                 5.9286,                 1.1399,                0.28464,                0.20321,                 0.1875,                  0.105,                 1.8841,                 5.7581,                 1.1307,             0.00088512,             0.00088512,             0.00088512
                     26,                 1.9464,                 5.9127,                 1.1442,                0.28351,                0.20327,                0.18596,                0.10365,                 1.8713,                 5.7533,                 1.1215,             0.00088012,             0.00088012,             0.00088012
                     27,                 1.9372,                 5.8595,                 1.1371,                 0.2944,                0.20681,                0.18912,                0.10649,                 1.8502,                 5.7246,                 1.1213,             0.00087513,             0.00087513,             0.00087513
                     28,                 1.9408,                 5.8611,                 1.1374,                0.34093,                 0.2006,                0.19311,                0.10789,                 1.8466,                 5.6317,                 1.1211,             0.00087013,             0.00087013,             0.00087013
                     29,                 1.9368,                 5.8547,                 1.1351,                0.30787,                0.20971,                0.19507,                0.10902,                  1.853,                  5.654,                 1.1179,             0.00086514,             0.00086514,             0.00086514
                     30,                  1.927,                 5.7959,                 1.1322,                0.32131,                0.20516,                0.19666,                 0.1108,                 1.8427,                 5.5817,                 1.1157,             0.00086014,             0.00086014,             0.00086014
                     31,                 1.8433,                 5.5348,                 1.1026,                0.32575,                0.24011,                0.22605,                0.12801,                  1.736,                 5.2055,                 1.0797,             0.00085514,             0.00085514,             0.00085514
                     32,                 1.7923,                 5.2772,                 1.0838,                0.33828,                0.25071,                 0.2389,                0.13643,                 1.7159,                 5.0767,                 1.0704,             0.00085015,             0.00085015,             0.00085015
                     33,                 1.7608,                 5.1537,                 1.0779,                0.35327,                0.25221,                0.24499,                0.14026,                 1.6799,                 4.9788,                 1.0626,             0.00084515,             0.00084515,             0.00084515
                     34,                 1.7569,                 5.1128,                 1.0743,                0.35734,                0.26519,                0.25683,                 0.1454,                 1.6603,                 4.8887,                 1.0608,             0.00084016,             0.00084016,             0.00084016
                     35,                 1.7287,                 4.9811,                 1.0673,                0.37453,                0.27543,                0.26783,                0.15323,                 1.6509,                 4.8087,                 1.0567,             0.00083516,             0.00083516,             0.00083516
                     36,                 1.7194,                 4.9369,                 1.0663,                0.38084,                0.27457,                0.26902,                0.15406,                 1.6335,                 4.7742,                  1.056,             0.00083017,             0.00083017,             0.00083017
                     37,                 1.7055,                  4.874,                 1.0633,                0.39182,                0.28429,                0.28032,                0.16038,                 1.6194,                 4.7042,                 1.0556,             0.00082518,             0.00082518,             0.00082518
                     38,                 1.6916,                 4.7723,                 1.0595,                0.37927,                 0.2956,                0.28447,                0.16226,                  1.607,                 4.6455,                 1.0516,             0.00082018,             0.00082018,             0.00082018
                     39,                 1.6799,                 4.7358,                 1.0565,                0.39718,                0.29023,                0.28872,                0.16572,                 1.5967,                 4.5987,                 1.0439,             0.00081518,             0.00081518,             0.00081518
                     40,                 1.6675,                 4.7019,                  1.054,                0.40419,                0.29528,                0.29788,                0.17009,                  1.587,                 4.5507,                 1.0425,             0.00081019,             0.00081019,             0.00081019
                     41,                  1.666,                 4.6298,                 1.0506,                0.40526,                0.30452,                0.30196,                0.17173,                 1.5753,                  4.513,                 1.0431,             0.00080519,             0.00080519,             0.00080519
                     42,                  1.661,                 4.6213,                 1.0488,                0.40506,                0.31125,                0.30866,                0.17642,                 1.5708,                 4.4993,                 1.0402,              0.0008002,              0.0008002,              0.0008002
                     43,                 1.6478,                 4.5607,                 1.0476,                0.39895,                0.31717,                 0.3119,                0.17841,                 1.5652,                 4.4532,                 1.0399,             0.00079521,             0.00079521,             0.00079521
                     44,                 1.6419,                 4.5304,                 1.0443,                0.41318,                0.31779,                0.31664,                0.18219,                 1.5529,                 4.4044,                 1.0384,             0.00079021,             0.00079021,             0.00079021
                     45,                 1.6395,                 4.5067,                 1.0434,                0.41813,                0.32379,                0.32055,                0.18367,                 1.5459,                 4.3802,                 1.0327,             0.00078522,             0.00078522,             0.00078522
                     46,                 1.6316,                 4.4537,                 1.0413,                0.43545,                0.31999,                0.32663,                0.18851,                 1.5349,                 4.3274,                  1.034,             0.00078022,             0.00078022,             0.00078022
                     47,                 1.6319,                 4.4236,                 1.0425,                0.42051,                0.32946,                0.32849,                0.18921,                 1.5316,                 4.3312,                 1.0358,             0.00077523,             0.00077523,             0.00077523
                     48,                  1.627,                 4.4321,                  1.041,                0.42031,                0.33749,                0.33041,                 0.1897,                 1.5299,                 4.3053,                 1.0325,             0.00077023,             0.00077023,             0.00077023
                     49,                 1.6139,                 4.3772,                 1.0374,                0.42648,                0.33617,                0.33451,                0.19243,                 1.5227,                 4.2625,                 1.0284,             0.00076523,             0.00076523,             0.00076523
                     50,                 1.6071,                  4.332,                 1.0384,                 0.4167,                0.34629,                0.33872,                0.19504,                 1.5181,                 4.2389,                 1.0301,             0.00076024,             0.00076024,             0.00076024
                     51,                 1.6003,                 4.3018,                 1.0355,                0.43227,                0.34589,                0.34284,                0.19815,                 1.5133,                 4.2122,                 1.0293,             0.00075525,             0.00075525,             0.00075525
                     52,                 1.5949,                 4.2627,                  1.033,                 0.4301,                 0.3487,                0.34597,                0.19928,                 1.5048,                 4.1988,                 1.0286,             0.00075025,             0.00075025,             0.00075025
                     53,                 1.5888,                 4.2289,                 1.0312,                 0.4332,                 0.3529,                0.34824,                0.20039,                 1.5003,                 4.1718,                 1.0262,             0.00074526,             0.00074526,             0.00074526
                     54,                  1.591,                 4.2379,                 1.0316,                0.44757,                0.35355,                0.35415,                0.20533,                 1.4945,                 4.1482,                 1.0252,             0.00074026,             0.00074026,             0.00074026
                     55,                  1.576,                 4.1925,                 1.0289,                0.43576,                0.35312,                0.35203,                 0.2041,                 1.4881,                 4.1302,                 1.0236,             0.00073526,             0.00073526,             0.00073526
                     56,                  1.568,                 4.1569,                 1.0271,                0.45599,                 0.3567,                0.35887,                0.20805,                 1.4862,                 4.1175,                 1.0208,             0.00073027,             0.00073027,             0.00073027
                     57,                 1.5801,                 4.1766,                 1.0304,                0.45791,                0.35695,                0.36213,                0.21114,                 1.4814,                  4.097,                 1.0213,             0.00072528,             0.00072528,             0.00072528
                     58,                 1.5699,                 4.1306,                 1.0276,                0.45843,                0.36213,                0.36536,                0.21311,                 1.4769,                 4.0675,                 1.0191,             0.00072028,             0.00072028,             0.00072028
